wl_calc,spectrum_peak_nm_fit
1543.4711968281863,1543.317284666487
1543.4716968281864,1543.3179907127733
1543.4721968281865,1543.318696638031
1543.4726968281866,1543.319402442129
1543.4731968281867,1543.3201081249351
1543.4736968281868,1543.3208136863175
1543.474196828187,1543.3215191261454
1543.474696828187,1543.3222244442866
1543.475196828187,1543.322929640609
1543.4756968281872,1543.323634714982
1543.4761968281873,1543.3243396672726
1543.4766968281874,1543.3250444973505
1543.4771968281875,1543.3257492050832
1543.4776968281876,1543.3264537903394
1543.4781968281877,1543.3271582529874
1543.4786968281878,1543.327862592895
1543.479196828188,1543.3285668099315
1543.479696828188,1543.3292709039647
1543.4801968281881,1543.3299748748625
1543.4806968281882,1543.3306787224944
1543.4811968281883,1543.3313824467277
1543.4816968281884,1543.3320860474312
1543.4821968281885,1543.3327895244731
1543.4826968281886,1543.3334928777224
1543.4831968281887,1543.3341961070469
1543.4836968281888,1543.3348992123142
1543.484196828189,1543.3356021933937
1543.484696828189,1543.3363050501534
1543.4851968281891,1543.3370077824616
1543.4856968281892,1543.337710390187
1543.4861968281893,1543.3384128731973
1543.4866968281895,1543.3391152313613
1543.4871968281896,1543.3398174645474
1543.4876968281897,1543.3405195726236
1543.4881968281898,1543.341221555459
1543.4886968281899,1543.34192341292
1543.48919682819,1543.3426251448775
1543.48969682819,1543.3433267511987
1543.4901968281902,1543.3440282317517
1543.4906968281903,1543.3447295864048
1543.4911968281904,1543.345430815027
1543.4916968281905,1543.3461319174862
1543.4921968281906,1543.3468328936503
1543.4926968281907,1543.3475337433886
1543.4931968281908,1543.3482344665683
1543.4936968281909,1543.3489350630593
1543.494196828191,1543.3496355327293
1543.494696828191,1543.3503358754454
1543.4951968281912,1543.3510360910775
1543.4956968281913,1543.3517361794939
1543.4961968281914,1543.3524361405616
1543.4966968281915,1543.3531359741503
1543.4971968281916,1543.3538356801273
1543.4976968281917,1543.3545352583624
1543.4981968281918,1543.355234708722
1543.498696828192,1543.355934031076
1543.499196828192,1543.3566332252924
1543.499696828192,1543.3573322912396
1543.5001968281922,1543.358031228785
1543.5006968281923,1543.358730037798
1543.5011968281924,1543.359428718147
1543.5016968281925,1543.3601272696994
1543.5021968281926,1543.3608256923244
1543.5026968281927,1543.36152398589
1543.5031968281928,1543.3622221502644
1543.503696828193,1543.3629201853164
1543.504196828193,1543.363618090914
1543.5046968281931,1543.364315866926
1543.5051968281932,1543.3650135132198
1543.5056968281933,1543.3657110296645
1543.5061968281934,1543.366408416128
1543.5066968281935,1543.3671056724793
1543.5071968281936,1543.3678027985868
1543.5076968281937,1543.3684997943174
1543.5081968281938,1543.3691966595409
1543.508696828194,1543.3698933941253
1543.509196828194,1543.3705899979386
1543.5096968281941,1543.3712864708493
1543.5101968281942,1543.3719828127264
1543.5106968281943,1543.372679023437
1543.5111968281944,1543.3733751028506
1543.5116968281945,1543.3740710508353
1543.5121968281946,1543.3747668672586
1543.5126968281947,1543.3754625519894
1543.5131968281949,1543.3761581048966
1543.513696828195,1543.376853525848
1543.514196828195,1543.3775488147123
1543.5146968281952,1543.3782439713568
1543.5151968281953,1543.3789389956507
1543.5156968281954,1543.3796338874622
1543.5161968281955,1543.3803286466602
1543.5166968281956,1543.3810232731119
1543.5171968281957,1543.3817177666867
1543.5176968281958,1543.3824121272526
1543.5181968281959,1543.3831063546772
1543.518696828196,1543.3838004488302
1543.519196828196,1543.3844944095788
1543.5196968281962,1543.385188236792
1543.5201968281963,1543.385881930338
1543.5206968281964,1543.3865754900849
1543.5211968281965,1543.3872689159016
1543.5216968281966,1543.3879622076558
1543.5221968281967,1543.3886553652158
1543.5226968281968,1543.3893483884506
1543.523196828197,1543.3900412772282
1543.523696828197,1543.390734031417
1543.524196828197,1543.3914266508853
1543.5246968281972,1543.3921191355016
1543.5251968281973,1543.3928114851333
1543.5256968281974,1543.39350369965
1543.5261968281975,1543.3941957789202
1543.5266968281976,1543.394887722811
1543.5271968281977,1543.3955795311917
1543.5276968281978,1543.39627120393
1543.528196828198,1543.3969627408944
1543.528696828198,1543.3976541419538
1543.529196828198,1543.3983454069762
1543.5296968281982,1543.3990365358297
1543.5301968281983,1543.3997275283828
1543.5306968281984,1543.4004183845043
1543.5311968281985,1543.4011091040616
1543.5316968281986,1543.4017996869236
1543.5321968281987,1543.4024901329592
1543.5326968281988,1543.4031804420358
1543.533196828199,1543.4038706140218
1543.533696828199,1543.4045606487862
1543.5341968281991,1543.405250546197
1543.5346968281992,1543.4059403061228
1543.5351968281993,1543.4066299284314
